admin_level,country,iso3,pcode,adm1_name,is_final_alert,pop_exposed_34kt,pop_exposed_50kt,pop_exposed_64kt,sources_34kt,sources_50kt,sources_64kt,caveat_34kt,caveat_50kt,caveat_64kt
0,Bahamas,BHS,,,False,6297,948,0,"CHD,ADAM,GDACS",CHD,,,,
1,Bahamas,BHS,BHS-20201113-01,Acklins,False,507,370,0,"CHD,ADAM",CHD,,,,
1,Bahamas,BHS,BHS-20201113-04,Black Point,False,38,0,0,ADAM,,,,,
1,Bahamas,BHS,BHS-20201113-10,Crooked Island,False,264,27,0,CHD,CHD,,,,
1,Bahamas,BHS,BHS-20201113-12,Exuma,False,2535,0,0,"CHD,ADAM",,,,,
1,Bahamas,BHS,BHS-20201113-16,Inagua,False,553,552,0,"CHD,ADAM",CHD,,,,
1,Bahamas,BHS,BHS-20201113-17,Long Island,False,2169,0,0,"CHD,ADAM",,,,,
1,Bahamas,BHS,BHS-20201113-19,Mayaguana,False,135,0,0,CHD,,,,,
1,Bahamas,BHS,BHS-20201113-25,Ragged Island,False,17,0,0,CHD,,,,,
1,Bahamas,BHS,BHS-20201113-26,Rum Cay,False,54,0,0,CHD,,,,,
1,Bahamas,BHS,BHS-20201113-27,San Salvador,False,63,0,0,CHD,,,,,
0,Cuba,CUB,,,False,5457654,4084757,836065,"CHD,ADAM,GDACS","CHD,ADAM","ADAM,GDACS",,,
1,Cuba,CUB,CUB-20201118-02,Camagüey,False,775379,382508,0,"CHD,ADAM",ADAM,,,,
1,Cuba,CUB,CUB-20201118-03,Ciego de Ávila,False,437258,0,0,ADAM,,,,,
1,Cuba,CUB,CUB-20201118-05,Granma,False,836878,836878,748024,"CHD,ADAM","CHD,ADAM",ADAM,,,
1,Cuba,CUB,CUB-20201118-06,Guantánamo,False,529192,483772,0,"CHD,ADAM","CHD,ADAM",,,,
1,Cuba,CUB,CUB-20201118-07,Holguín,False,1075436,986407,24281,"CHD,ADAM","CHD,ADAM",ADAM,,,
1,Cuba,CUB,CUB-20201118-10,Las Tunas,False,544188,544188,4070,"CHD,ADAM","CHD,ADAM",ADAM,,,
1,Cuba,CUB,CUB-20201118-14,Sancti Spíritus,False,206433,0,0,ADAM,,,,,
1,Cuba,CUB,CUB-20201118-15,Santiago de Cuba,False,1052873,1052873,59690,"CHD,ADAM","CHD,ADAM",ADAM,,,
1,Cuba,CUB,CUB-20201118-16,Villa Clara,False,17,0,0,ADAM,,,,,
0,Haiti,HTI,,,False,5386980,0,0,"CHD,ADAM,GDACS",,,,,
1,Haiti,HTI,HTI-20230404-01,West,False,142509,0,0,CHD,,,,,
1,Haiti,HTI,HTI-20230404-03,North,False,1042868,0,0,CHD,,,,,
1,Haiti,HTI,HTI-20230404-04,North-East,False,65777,0,0,CHD,,,,,
1,Haiti,HTI,HTI-20230404-05,Artibonite,False,1706247,0,0,CHD,,,,,
1,Haiti,HTI,HTI-20230404-07,South,False,813696,0,0,"CHD,ADAM,GDACS",,,,,
1,Haiti,HTI,HTI-20230404-08,Grande'Anse,False,497320,0,0,"CHD,ADAM,GDACS",,,,,
1,Haiti,HTI,HTI-20230404-09,North-West,False,767525,0,0,CHD,,,,,
1,Haiti,HTI,HTI-20230404-10,Nippes,False,351157,0,0,CHD,,,,,
0,Pedro Bank (Jam.),JAM,,,False,2878517,2794471,953919,"CHD,ADAM,GDACS","CHD,ADAM","ADAM,GDACS",,,
1,Pedro Bank (Jam.),JAM,JAM-20240807-01,Clarendon,False,274838,274838,16032,"CHD,ADAM","CHD,ADAM",ADAM,,,
1,Pedro Bank (Jam.),JAM,JAM-20240807-02,Hanover,False,70725,70725,70725,"CHD,ADAM","CHD,ADAM",ADAM,,,
1,Pedro Bank (Jam.),JAM,JAM-20240807-03,Kingston,False,91255,91255,0,CHD,CHD,,,,
1,Pedro Bank (Jam.),JAM,JAM-20240807-04,Manchester,False,206755,206755,187724,"CHD,ADAM","CHD,ADAM",ADAM,,,
1,Pedro Bank (Jam.),JAM,JAM-20240807-05,Portland,False,82005,74844,0,"CHD,ADAM","CHD,ADAM",,,,
1,Pedro Bank (Jam.),JAM,JAM-20240807-06,Saint Andrew,False,590202,590202,0,CHD,CHD,,,,
1,Pedro Bank (Jam.),JAM,JAM-20240807-07,Saint Ann,False,186906,186906,92685,"CHD,ADAM","CHD,ADAM",ADAM,,,
1,Pedro Bank (Jam.),JAM,JAM-20240807-08,Saint Catherine,False,568935,568935,0,"CHD,ADAM","CHD,ADAM",,,,
1,Pedro Bank (Jam.),JAM,JAM-20240807-09,Saint Elizabeth,False,158073,158073,158073,"CHD,ADAM","CHD,ADAM",ADAM,,,
1,Pedro Bank (Jam.),JAM,JAM-20240807-10,Saint James,False,196002,196002,196002,"CHD,ADAM","CHD,ADAM",ADAM,,,
1,Pedro Bank (Jam.),JAM,JAM-20240807-11,Saint Mary,False,118204,118204,0,"CHD,ADAM","CHD,ADAM",,,,
1,Pedro Bank (Jam.),JAM,JAM-20240807-12,Saint Thomas,False,98612,90581,0,"CHD,ADAM","CHD,ADAM",,,,
1,Pedro Bank (Jam.),JAM,JAM-20240807-13,Trelawny,False,80397,80397,80397,"CHD,ADAM","CHD,ADAM",ADAM,,,
1,Pedro Bank (Jam.),JAM,JAM-20240807-14,Westmoreland,False,152281,152281,152281,"CHD,ADAM","CHD,ADAM",ADAM,,,
0,Turks and Caicos Islands (UK),TCA,,,False,33808,0,0,CHD,,,,,
1,Turks and Caicos Islands (UK),TCA,TCA-20230907-2,Middle Caicos,False,215,0,0,CHD,,,,,
1,Turks and Caicos Islands (UK),TCA,TCA-20230907-3,North Caicos,False,1774,0,0,CHD,,,,,
1,Turks and Caicos Islands (UK),TCA,TCA-20230907-4,Providenciales and West Caicos,False,31819,0,0,CHD,,,,,
