admin_level,country,iso3,pcode,adm1_name,is_final_alert,pop_exposed_34kt,pop_exposed_50kt,pop_exposed_64kt,sources_34kt,sources_50kt,sources_64kt,caveat_34kt,caveat_50kt,caveat_64kt
0,Bahamas,BHS,,,False,9010,0,0,"CHD,ADAM,GDACS",,,,,
1,Bahamas,BHS,BHS-20201113-01,Acklins,False,618,0,0,ADAM,,,,,
1,Bahamas,BHS,BHS-20201113-05,Cat Island,False,1225,0,0,ADAM,,,,,
1,Bahamas,BHS,BHS-20201113-06,Central Abaco,False,164,0,0,ADAM,,,Boundaries are not comparable,,
1,Bahamas,BHS,BHS-20201113-08,Central Eleuthera,False,1646,0,0,ADAM,,,Boundaries are not comparable,,
1,Bahamas,BHS,BHS-20201113-10,Crooked Island,False,278,0,0,ADAM,,,,,
1,Bahamas,BHS,BHS-20201113-16,Inagua,False,578,0,0,ADAM,,,,,
1,Bahamas,BHS,BHS-20201113-17,Long Island,False,2663,0,0,ADAM,,,,,
1,Bahamas,BHS,BHS-20201113-19,Mayaguana,False,266,0,0,"CHD,ADAM",,,,,
1,Bahamas,BHS,BHS-20201113-27,San Salvador,False,841,0,0,"CHD,ADAM",,,Boundaries not completely comparable: ADAM numbers also include Rum Cay which is a small island to the South West,,
1,Bahamas,BHS,BHS-20201113-30,South Eleuthera,False,650,0,0,ADAM,,,Boundaries are not comparable,,
0,Turks and Caicos Islands (UK),TCA,,,True,42065,11703,0,"CHD,ADAM,GDACS",ADAM,,,,
1,Turks and Caicos Islands (UK),TCA,TCA-20230907-1,Grand Turk,True,6752,4431,0,"CHD,ADAM",ADAM,,,,
1,Turks and Caicos Islands (UK),TCA,TCA-20230907-2,Middle Caicos,True,215,53,0,"CHD,ADAM",ADAM,,,,
1,Turks and Caicos Islands (UK),TCA,TCA-20230907-3,North Caicos,True,1774,892,0,"CHD,ADAM",ADAM,,,,
1,Turks and Caicos Islands (UK),TCA,TCA-20230907-4,Providenciales and West Caicos,True,31819,5443,0,"CHD,ADAM",ADAM,,,,
1,Turks and Caicos Islands (UK),TCA,TCA-20230907-5,Salt Cay,True,130,0,0,CHD,,,,,
1,Turks and Caicos Islands (UK),TCA,TCA-20230907-6,South Caicos and East Caicos,True,1374,0,0,CHD,,,,,
0,United States of America,USA,,,False,312028,0,0,"CHD,ADAM,GDACS",,,,,
1,United States of America,USA,USA-20230119-37,North Carolina,False,311799,0,0,"CHD,ADAM,GDACS",,,,,
1,United States of America,USA,USA-20230119-52,Virginia,False,229,0,0,"ADAM,GDACS",,,,,
